Status,Task name,JIRA,Priority,Work Date,Assign,Due,Desc.
In progress,Posting BPH,,,10/08/2024,,,
Not started,Reverse BKU,,,10/08/2024,,,
Not started,Reverse BPH,,,10/08/2024,,,
Not started,Dev Job Sweeping Outbox,,Medium,05/08/2024,,,
Not started,Dev Job Retry Outbox,,Medium,05/08/2024,,,
Not started,Dev Job Hit API I/O SAP,,Medium,05/08/2024,,,
Done,Posting BKU,,,10/08/2024,,,
Done,Dev Update Posting/Reverse,,Medium,10/08/2024,,,
Reported,Dev Provide API I/O TDMS,,Medium,09/08/2024,,,
Reported,Support Job Discount TSO Production,,High,05/08/2024 → 07/08/2024,,,
Reported,REL - App Config,ELVLOG-296,High,08/08/2024,,,
Reported,Maintain Table Outbox OBB,,Medium,09/08/2024,,,
Reported,REL - SP,ELVLOG-296,High,03/08/2024,,,handovered → Rahman Eko
Reported,REL - Maintain Menu - Basic to Filter,ELVLOG-296,High,03/08/2024,,,
Reported,Dev Provide API I/O TDMS,,Medium,05/08/2024,,,
Approved,Bug Change OBB - Not closed after success,,,05/08/2024,,,
Approved,Bug Maintain OBB - OBB Status Search,,,05/08/2024,,,
Approved,Bug Create - Notification Field Null,,,02/08/2024,,,
Approved,Bug Change - Access Right (part 2),ELVLOG-223,High,03/08/2024,Divetri Rahmawati,07/31/2024,
Approved,WI Job Prod TSO Discount,,,02/08/2024,,,
Approved,Internal Testing - Scenario Change OBB,ELVLOG-223,High,03/08/2024,,,
Approved,Bug Maintain - Cancel,,,02/08/2024,,,
Approved,Bug Maintain - Reject Multiple 29011,,,02/08/2024,,,
Approved,Bug Create - Notification Field Null,,,02/08/2024,,,
Approved,Add Column Customer Name,,,02/08/2024,,,
Approved,Bug Maintain - Reject Multiple,,,02/08/2024,,,
Approved,Bug Maintain - Approve Multiple,,,02/08/2024,,,
Approved,Improve Create OBB Date,,Medium,01/08/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Create OBB Unmaintained BBM,ELVLOG-229,Medium,01/08/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Create - Success Message,ELVLOG-186,High,01/08/2024,,,
Approved,Bug Search Maintain OBB - Customer Name,ELVLOG-219,Medium,02/08/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Search Maintain OBB - Status,ELVLOG-218,Medium,31/07/2024 → 01/08/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Search Maintain OBB - BA Charge,ELVLOG-216,Medium,31/07/2024,Divetri Rahmawati,07/31/2024,
Approved,Tuning SP Job TSO DIscount,,High,02/08/2024,,,
Approved,Bug Reject OBB,ELVLOG-232,High,01/08/2024,,,
Approved,Bug Req Cancel OBB,ELVLOG-226,High,01/08/2024 → 02/08/2024,,,
Approved,Bug Change - Action Enabled - Other,ELVLOG-225,High,01/08/2024,,,
Approved,Bug Change - Action Disabled - Open,ELVLOG-224,High,01/08/2024,,,
Approved,Bug Create OBB - Same Equipment No,ELVLOG-186,High,01/08/2024,,,
Approved,Edit SP Job TSO Discount,,High,02/08/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Change - Access Right (part 1),ELVLOG-223,High,25/07/2024 → 26/07/2024,Divetri Rahmawati,07/31/2024,
Approved,Bug Approve OBB,ELVLOG-231,High,31/07/2024 → 01/08/2024,Divetri Rahmawati,07/31/2024,
Cancelled,REL - Maintain Menu - Export Excel,ELVLOG-296,High,03/08/2024,,,
Cancelled,REL - Maintain Menu - Print Result,ELVLOG-296,High,07/08/2024,,,
Cancelled,Maintain SP Inbox OBB,,Medium,05/08/2024,,,
Cancelled,Maintain Table Inbox OBB,,Medium,05/08/2024,,,
Cancelled,API Posting BPH,,Medium,05/08/2024,,,
Cancelled,API Reverse BKU,,Medium,05/08/2024,,,
Cancelled,API Posting BKU,,Medium,05/08/2024,,,
Cancelled,API Reverse BPH,,Medium,05/08/2024,,,
Cancelled,Support mba Runi Bug UTT,,Low,,Divetri Rahmawati,07/31/2024,